time  , u_vx  , u_omega  
9.944333  ,  1.000002,  -0.000961  
9.994333  ,  1.000002,  -0.000932  
10.044333  ,  1.000001,  -0.000904  
10.094333  ,  1.000001,  -0.000876  
10.144333  ,  1.000001,  -0.000850  
10.194333  ,  1.000001,  -0.000824  
10.244333  ,  1.000001,  -0.000799  
10.294333  ,  1.000001,  -0.000775  
10.344333  ,  1.000001,  -0.000751  
10.394333  ,  1.000001,  -0.000728  
10.444333  ,  1.000001,  -0.000706  
10.494333  ,  1.000001,  -0.000685  
10.544333  ,  1.000001,  -0.000664  
10.594333  ,  1.000001,  -0.000644  
10.644333  ,  1.000001,  -0.000624  
10.694333  ,  1.000001,  -0.000605  
10.744333  ,  1.000001,  -0.000587  
10.794333  ,  1.000001,  -0.000569  
10.844333  ,  1.000001,  -0.000552  
10.894333  ,  1.000001,  -0.000535  
10.944333  ,  1.000000,  -0.000519  
10.994333  ,  1.000000,  -0.000503  
11.044333  ,  1.000000,  -0.000488  
11.094333  ,  1.000000,  -0.000473  
11.144333  ,  1.000000,  -0.000458  
11.194333  ,  1.000000,  -0.000444  
11.244333  ,  1.000000,  -0.000431  
11.294333  ,  1.000000,  -0.000418  
11.344333  ,  1.000000,  -0.000405  
11.394333  ,  1.000000,  -0.000393  
11.444333  ,  1.000000,  -0.000381  
11.494333  ,  1.000000,  -0.000369  
11.544333  ,  1.000000,  -0.000358  
11.594333  ,  1.000000,  -0.000347  
11.644333  ,  1.000000,  -0.000337  
11.694333  ,  1.000000,  -0.000326  
11.744333  ,  1.000000,  -0.000316  
11.794333  ,  1.000000,  -0.000307  
11.844333  ,  1.000000,  -0.000298  
11.894333  ,  1.000000,  -0.000288  
11.944333  ,  1.000000,  -0.000280  
11.994333  ,  1.000000,  -0.000271  
12.044333  ,  1.000000,  -0.000263  
12.094333  ,  1.000000,  -0.000255  
12.144333  ,  1.000000,  -0.000247  
12.194333  ,  1.000000,  -0.000240  
12.244333  ,  1.000000,  -0.000232  
12.294333  ,  1.000000,  -0.000225  
12.344333  ,  1.000000,  -0.000219  
12.394333  ,  1.000000,  -0.000212  
12.444333  ,  1.000000,  -0.000205  
12.494333  ,  1.000000,  -0.000199  
12.544333  ,  1.000000,  -0.000193  
12.594333  ,  1.000000,  -0.000187  
12.644333  ,  1.000000,  -0.000182  
12.694333  ,  1.000000,  -0.000176  
12.744333  ,  1.000000,  -0.000171  
12.794333  ,  1.000000,  -0.000166  
12.844333  ,  1.000000,  -0.000160  
12.894333  ,  1.000000,  -0.000156  
12.944333  ,  1.000000,  -0.000151  
12.994333  ,  1.000000,  -0.000146  
13.044333  ,  1.000000,  -0.000142  
13.094333  ,  1.000000,  -0.000138  
13.144333  ,  1.000000,  -0.000133  
13.194333  ,  1.000000,  -0.000129  
13.244333  ,  1.000000,  -0.000125  
13.294333  ,  1.000000,  -0.000122  
13.344333  ,  1.000000,  -0.000118  
13.394333  ,  1.000000,  -0.000114  
13.444333  ,  1.000000,  -0.000111  
13.494333  ,  1.000000,  -0.000107  
13.544333  ,  1.000000,  -0.000104  
13.594333  ,  1.000000,  -0.000101  
13.644333  ,  1.000000,  -0.000098  
13.694333  ,  1.000000,  -0.000095  
13.744333  ,  1.000000,  -0.000092  
13.794333  ,  1.000000,  -0.000089  
13.844333  ,  1.000000,  -0.000087  
13.894333  ,  1.000000,  -0.000084  
13.944333  ,  1.000000,  -0.000081  
13.994333  ,  1.000000,  -0.000079  
14.044333  ,  1.000000,  -0.000077  
14.094333  ,  1.000000,  -0.000074  
14.144333  ,  1.000000,  -0.000072  
14.194333  ,  1.000000,  -0.000070  
14.244333  ,  1.000000,  -0.000068  
14.294333  ,  1.000000,  -0.000066  
14.344333  ,  1.000000,  -0.000064  
14.394333  ,  1.000000,  -0.000062  
14.444333  ,  1.000000,  -0.000060  
14.494333  ,  1.000000,  -0.000058  
14.544333  ,  1.000000,  -0.000056  
14.594333  ,  1.000000,  -0.000054  
14.644333  ,  1.000000,  -0.000053  
14.694333  ,  1.000000,  -0.000051  
14.744333  ,  1.000000,  -0.000050  
14.794333  ,  1.000000,  -0.000048  
14.844333  ,  1.000000,  -0.000047  
14.894333  ,  1.000000,  -0.000045  
14.944333  ,  1.000000,  -0.000044  
14.994333  ,  1.000000,  -0.000043  
15.000000  ,  1.000000,  -0.000042  
